Algo,TileRows,TileColumns,TotalGPUs,DataLocation,M,N,K,dRow,dCol,TotalNodes,DecompositionTime,HostToDeviceTime,GatherTime,ExecutionTime,GFlops,Performance (Tflops)
SLATE,512,512,4,devices,32768.0,32768.0,32768.0,2.0,2.0,1.0,0.283826,,2.47406075,4.57422575,16353.347427900002,15.970065847558596
SLATE,512,512,16,devices,32768.0,32768.0,32768.0,4.0,4.0,4.0,0.21983899999999998,,2.0604980999999998,4.0710415,18395.4201466,17.964277486914064
SLATE,1024,1024,4,devices,32768.0,32768.0,32768.0,2.0,2.0,1.0,0.138009,,2.3949153,3.36404445,22022.4551641,21.506303871191406
SLATE,1024,1024,16,devices,32768.0,32768.0,32768.0,4.0,4.0,4.0,0.12343600000000002,,1.9559623,2.7147797000000002,26850.113881000005,26.220814336914067
SLATE,1536,1536,4,devices,32768.0,32768.0,32768.0,2.0,2.0,1.0,0.499958,,2.4922192,3.51524925,21479.892313049997,20.976457336962888
SLATE,1536,1536,16,devices,32768.0,32768.0,32768.0,4.0,4.0,4.0,0.086819,,3.2674705000000004,4.167614,16892.1045169,16.496195817285155
SLATE,2048,2048,4,devices,32768.0,32768.0,32768.0,2.0,2.0,1.0,0.071969,,4.75624575,7.452088999999999,9444.28047225,9.222930148681641
SLATE,2048,2048,16,devices,32768.0,32768.0,32768.0,4.0,4.0,4.0,0.088421,,2.8445567,4.0659421,17327.8456928,16.921724309375
SLATE,2560,2560,4,devices,32768.0,32768.0,32768.0,2.0,2.0,1.0,0.092464,,4.51733265,7.646204849999999,9207.5157569,8.991714606347657
SLATE,2560,2560,16,devices,32768.0,32768.0,32768.0,4.0,4.0,4.0,0.070616,,2.9651516,4.3712731,16099.5597965,15.722226363769531
SLATE,3072,3072,4,devices,32768.0,32768.0,32768.0,2.0,2.0,1.0,0.10812200000000001,,4.613580000000001,7.5390216,9334.23902675,9.115467799560546
SLATE,3072,3072,16,devices,32768.0,32768.0,32768.0,4.0,4.0,4.0,0.066871,,2.9246980000000002,4.3852429,16047.3429861,15.671233384863282
SLATE,3584,3584,4,devices,32768.0,32768.0,32768.0,2.0,2.0,1.0,0.083695,,4.50211,7.783560799999999,9041.04863525,8.829149057861327
SLATE,3584,3584,16,devices,32768.0,32768.0,32768.0,4.0,4.0,4.0,0.09233,,3.0017166,4.8126429,14622.411054699998,14.279698295605467
SLATE,4096,4096,4,devices,32768.0,32768.0,32768.0,2.0,2.0,1.0,0.075284,,4.828810949999999,7.376312400000001,9540.2626789,9.316662772363282
SLATE,4096,4096,16,devices,32768.0,32768.0,32768.0,4.0,4.0,4.0,0.075173,,2.7435574,4.3399923000000005,16218.449964599999,15.838330043554686
cuBLASMp,512,512,4,devices,32768.0,32768.0,32768.0,2.0,2.0,1.0,3.7e-05,1.082606,0.0,1.10179095,63880.46688569999,62.3832684430664
cuBLASMp,512,512,16,devices,32768.0,32768.0,32768.0,4.0,4.0,4.0,2.3e-05,0.279366,0.0,1.6418158999999999,43879.8799232,42.8514452375
cuBLASMp,1024,1024,4,devices,32768.0,32768.0,32768.0,2.0,2.0,1.0,3.7e-05,1.074323,5e-08,1.0644196000000001,66123.4681709,64.57369938564453
cuBLASMp,1024,1024,16,devices,32768.0,32768.0,32768.0,4.0,4.0,4.0,3.5e-05,0.284185,4.29e-05,1.9333542000000001,36457.4694612,35.60299752070313
cuBLASMp,1536,1536,4,devices,32768.0,32768.0,32768.0,2.0,2.0,1.0,3.1e-05,1.146363,1e-07,1.09605305,64205.751339099996,62.70092904208984
cuBLASMp,1536,1536,16,devices,32768.0,32768.0,32768.0,4.0,4.0,4.0,4.4e-05,0.347392,0.0,2.0083978,35108.4567332,34.285602278515626
cuBLASMp,2048,2048,4,devices,32768.0,32768.0,32768.0,2.0,2.0,1.0,9e-06,1.089057,2.5550000000000004e-05,1.0461534000000001,67267.99366195001,65.69140006049805
cuBLASMp,2048,2048,16,devices,32768.0,32768.0,32768.0,4.0,4.0,4.0,1.5000000000000002e-05,0.284255,0.0,2.1183611,33311.5889992,32.53084863203125
cuBLASMp,2560,2560,4,devices,32768.0,32768.0,32768.0,2.0,2.0,1.0,1e-05,1.215818,2e-07,1.15928695,60704.630443500006,59.281865667480474
cuBLASMp,2560,2560,16,devices,32768.0,32768.0,32768.0,4.0,4.0,4.0,8e-06,0.389979,0.0,2.1603541999999996,32643.540223900003,31.878457249902347
cuBLASMp,3072,3072,4,devices,32768.0,32768.0,32768.0,2.0,2.0,1.0,8e-06,1.204001,1.5e-07,1.16147765,60589.77603485,59.169703159033205
cuBLASMp,3072,3072,16,devices,32768.0,32768.0,32768.0,4.0,4.0,4.0,9e-06,0.349967,0.0001124,2.3871307,29538.9518431,28.846632659277343
cuBLASMp,3584,3584,4,devices,32768.0,32768.0,32768.0,2.0,2.0,1.0,1.8e-05,1.274423,0.0,1.2330823,57073.016653499995,55.73536782568359
cuBLASMp,3584,3584,16,devices,32768.0,32768.0,32768.0,4.0,4.0,4.0,6.999999999999999e-06,0.46608799999999995,0.0,2.5956885,27161.2388701,26.524647334082033
cuBLASMp,4096,4096,4,devices,32768.0,32768.0,32768.0,2.0,2.0,1.0,8e-06,1.088863,2.5e-07,1.05230595,66875.6392383,65.30824144365235
cuBLASMp,4096,4096,16,devices,32768.0,32768.0,32768.0,4.0,4.0,4.0,1.1e-05,0.281636,0.0,2.2627704,31135.900188499996,30.406152527832027
